symbol,duration_bucket,trade_count,win_rate,avg_pnl,fee_ratio
ETH,<1m,3,33.33,-0.03,0.7453
LINK,30m-2h,1,0.0,-0.03,6.519
ETC,>2h,1,100.0,0.4,0.4706
INJ,5-30m,3,0.0,-0.14,0.2042
INJ,30m-2h,3,33.33,-0.11,0.2664
JASMY,>2h,1,100.0,0.32,0.1062
LTC,>2h,1,0.0,-0.11,0.329
CRV,>2h,1,100.0,0.36,0.103
AERO,>2h,2,0.0,-0.13,0.2669
ARB,>2h,2,0.0,-0.11,0.3247
OP,30m-2h,1,0.0,-0.03,1.2691
SEI,5-30m,1,0.0,-0.08,0.4665
AERO,30m-2h,3,0.0,-0.17,0.1964
NEAR,30m-2h,1,0.0,-0.4,0.0917
NEAR,1-5m,2,0.0,-0.6,0.0588
ARB,5-30m,1,0.0,-0.32,0.1061
ARB,<1m,1,0.0,-0.54,0.0611
PENDLE,5-30m,4,25.0,-0.08,0.4072
TRUMP,30m-2h,2,0.0,-0.1,0.3377
AERO,5-30m,3,0.0,-0.24,0.1379
AERO,1-5m,1,0.0,-0.39,0.0939
ADA,5-30m,1,0.0,-0.23,0.1448
ADA,30m-2h,2,0.0,-0.1,0.3641
AVAX,1-5m,1,0.0,-0.07,0.5001
S,>2h,1,100.0,0.07,0.4649
WIF,30m-2h,1,0.0,-0.16,0.2379
WIF,5-30m,1,0.0,-0.3,0.1215
DOT,5-30m,1,0.0,-0.3,0.124
FLR,30m-2h,1,0.0,-0.27,0.126
POL,30m-2h,1,0.0,-0.13,0.2737
